stationid,lat,lon,name,state,elevation,distance,rating
320050007,38.8975,-119.73194,"818, Lyell Way, Gardnerville Ranchos, Douglas County, Nevada, 89460, United States",Nevada,1487.41,240,0.9063464837049743
320310016,39.525000000000006,-119.8075,"321, State Street, Midtown, Reno, Washoe County, Nevada, 89501, United States",Nevada,1369.3,268,0.9056603773584906
320311005,39.54083,-119.74667,"USPS, Prater Way, Sparks, Washoe County, Nevada, 89431, United States",Nevada,1344.03,273,0.9149228130360205
320311007,39.621390000000005,-119.71861,"Aquene Court, Sparks, Washoe County, Nevada, 89441, United States",Nevada,1367.76,280,0.9166380789022298
325100020,39.14472000000001,-119.76639000000002,"2472, Lewis Drive, Carson City, Nevada, 89701, United States",Nevada,1427.94,248,0.904631217838765
330050007,42.93028,-72.27222,"Tom's, Water Street, Keene, Cheshire County, New Hampshire, 03431, United States",New Hampshire,144.52,115,0.9217838765008577
330115001,42.86167,-71.87861000000001,"Miller State Park, Wapack Trail, Temple, Hillsborough County, New Hampshire, 03084, United States",New Hampshire,693.21,83,0.9197255574614065
330150018,42.8625,-71.38000000000001,"Moose Hill School, Pond View Trail, Londonderry, Rockingham County, New Hampshire, 03053, United States",New Hampshire,106.03,42,0.9097770154373928
340010006,39.46472,-74.44861,"Atmoshpere Monitoring Station, Lily Lake Drive, Smithville, Galloway Township, Atlantic County, New Jersey, 08220, United States",New Jersey,4.44,0,0.7715265866209262
340070002,39.93444,-75.12527,"Macedonia AME Church, Spruce Street, Central Waterfront, Whitman Park, Camden, Camden County, New Jersey, 08103, United States",New Jersey,2.62,28,0.7471698113207548
340110007,39.42222,-75.025,"Vineland, Cumberland County, New Jersey, 08331, United States",New Jersey,23.42,21,0.7437392795883362
340130003,40.72083000000001,-74.19278,"77, Hillside Avenue, Newark, Essex County, New Jersey, 07108, United States",New Jersey,28.79,4,0.7780445969125215
340190001,40.515,-74.80666000000001,"Old York Road, Voorhees Corner, Raritan Township, Hunterdon County, New Jersey, 08887, United States",New Jersey,46.75,44,0.8518010291595197
340210005,40.283060000000006,-74.7425,"Rider University, Johnson Trolley Line Trail, Sturwood Hamlet, Lawrence Township, Mercer County, New Jersey, 08648, United States",New Jersey,30.56,45,0.7807890222984563
340230011,40.461940000000006,-74.42917,"Hort Farm No. 3 - Greenhouse 6-A, Lakeside Drive, East Brunswick Township, Middlesex County, New Jersey, 08901, United States",New Jersey,20.36,13,0.8037735849056604
340390004,40.64139,-74.20834,"I 278, Elizabeth, Union County, New Jersey, 07202, United States",New Jersey,5.34,2,0.8
350010023,35.13528,-106.58444,"4770, San Mateo Lane Northeast, The Lakes Apartments, Albuquerque, Bernalillo County, New Mexico, 87109, United States",New Mexico,1588.9,749,0.9156089193825043
350130016,32.003330000000005,-106.59917000000002,"Anthony Elementary School, Church Street, Anthony, NM, Doña Ana County, New Mexico, 88021, United States",New Mexico,1166.37,593,0.9036020583190394
350490021,35.61972,-106.07944,"166, Aviation Drive, Santa Fe, Santa Fe County, New Mexico, 87507, United States",New Mexico,1928.06,816,0.9176672384219554
350550005,36.38306,-105.58305,"206, Adobe Road, Taos, Taos County, New Mexico, 87571, United States",New Mexico,2122.07,902,0.9156089193825043
370210034,35.60611,-82.58417,"Buncombe County Schools, Bingham Road, Asheville, Buncombe County, North Carolina, 28806, United States",North Carolina,659.27,381,0.9108061749571184
370350004,35.72889,-81.36555000000001,"100, 15th Street Southwest, Hickory, Catawba County, North Carolina, 28602, United States",North Carolina,350.19,321,0.9008576329331046
370670030,36.025830000000006,-80.34167000000001,"Fraternity Church Road, Muddy Creek, Forsyth County, North Carolina, 27127, United States",North Carolina,244.44,288,0.9180102915951973
371830014,35.855830000000005,-78.57417000000001,"Primary Beginnings Child Care Center, 4001, Spring Forest Road, Mini City, Raleigh, Wake County, North Carolina, 27616, United States",North Carolina,103.22,148,0.9005145797598628
380570004,47.29833000000001,-101.76667,"North Beulah Mine Wildlife Management Area, State Highway 200, Mercer County, North Dakota, 58523, United States",North Dakota,626.21,1231,0.911492281303602
381050003,48.15278000000001,-103.63944,"1111, 10th Street West, Williston, Williams County, North Dakota, 58801, United States",North Dakota,583.61,1218,0.9132075471698113
390030009,40.77083,-84.05389000000001,"Bath Local Schools, I 75, Slabtown, Bath Township, Allen County, Ohio, 45801, United States",Ohio,267.95,628,0.9166380789022298
390230005,39.928610000000006,-83.80945000000001,"Station 1, 350, North Fountain Avenue, North Hill, Springfield, Clark County, Ohio, 45504, United States",Ohio,281.52,581,0.9193825042881647
